OBJECTID,ZoningCode,Description,ZoningGroup,Link,Link_Fr,Description_Fr,GlobalID,Shape__Area,Shape__Length
1,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,17e1aac3-1d81-4dc2-a95e-86203047b4b5,2500.697265625,226.083702676203
2,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,90039198-eea6-42a4-8ba0-751628d35f96,11576.9921875,430.480587001159
3,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,b40cee1f-c194-4643-8537-14420ed52351,7453.02734375,366.954213475908
4,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,c4323f0d-e66e-4156-9201-2fbd6ea9faf7,2250.861328125,195.771232837742
5,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,001b4c8f-6ed5-4c2c-bb66-7c50407bdb76,7345.244140625,466.773715459424
6,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,3e00ab74-5984-4b5f-b5e0-92fe4b831f1e,89210.11328125,1542.08548198863
7,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,4516297e-40ba-41ce-890e-309059078b07,9742.4921875,476.272101445056
8,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,5bf7a276-5cb0-4ba3-abeb-9b2918756edb,27996.4375,882.578525639362
9,CBP,Business Park Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/2068878a3530436c90b55c8e639304f7/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b9e4f713511243f690a4a1bbc7cb907a/data,Commerciale – Parcs d’affaires,c5ee6f1b-6e85-4457-90ec-98cae67e152f,9186.244140625,382.967322375184
11,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,da40c86a-94d8-45c0-9be7-a6c9795f24ab,11269.982421875,451.807594080558
12,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,6f2e1924-2e6a-400d-8c39-9b4ecfda9d0e,7747.662109375,362.824931879538
13,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,7bd0000c-e54d-41ed-af90-b3a48b867386,11001.3515625,1188.53950410961
14,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,e5b9491f-85c9-477b-a14b-08981ee38fe7,6431.80078125,321.986451019694
